TinhThanh_Moi,PhuongXa_Moi,PhuongXa_Cu_HienThi,PhuongXa_Cu,QuanHuyen_Cu,TinhThanh_Cu,Loại
Gia Lai,Hoài Ân,Xã Ân Tường Đông,Xã Ân Tường Đông,Hoài Ân,Bình Định,
Gia Lai,Ân Tường,Xã Ân Tường Tây,Xã Ân Tường Tây,Hoài Ân,Bình Định,
Gia Lai,An Vinh,Xã An Vinh,Xã An Vinh,An Lão,Bình Định,
Gia Lai,Al Bá,Xã Ayun (huyện Chư Sê),Xã Ayun,Chư Sê,Gia Lai,
Gia Lai,Ayun,Xã Ayun (huyện Mang Yang),Xã Ayun,Mang Yang,Gia Lai,
Gia Lai,Chư A Thai,Xã Ayun Hạ,Xã Ayun Hạ,Phú Thiện,Gia Lai,
Gia Lai,Bờ Ngoong,Xã Bar Măih,Xã Bar Măih,Chư Sê,Gia Lai,
Gia Lai,Bàu Cạn,Xã Bàu Cạn,Xã Bàu Cạn,Chư Prông,Gia Lai,
Gia Lai,Biển Hồ,Xã Biển Hồ,Xã Biển Hồ,Pleiku,Gia Lai,
Gia Lai,Bàu Cạn,Xã Bình Giáo,Xã Bình Giáo,Chư Prông,Gia Lai,
Gia Lai,Bình An,Xã Bình Hòa,Xã Bình Hòa,Tây Sơn,Bình Định,
Gia Lai,Tây Sơn,Xã Bình Nghi,Xã Bình Nghi,Tây Sơn,Bình Định,
Gia Lai,Bình Hiệp,Xã Bình Tân,Xã Bình Tân,Tây Sơn,Bình Định,
Gia Lai,Bình An,Xã Bình Thành,Xã Bình Thành,Tây Sơn,Bình Định,
Gia Lai,Bình Hiệp,Xã Bình Thuận,Xã Bình Thuận,Tây Sơn,Bình Định,
Gia Lai,Bình Phú,Xã Bình Tường,Xã Bình Tường,Tây Sơn,Bình Định,
Gia Lai,Bờ Ngoong,Xã Bờ Ngoong,Xã Bờ Ngoong,Chư Sê,Gia Lai,
Gia Lai,Kim Sơn,Xã Bok Tới,Xã Bok Tới,Hoài Ân,Bình Định,
Gia Lai,Canh Vinh,Xã Canh Hiển,Xã Canh Hiển,Vân Canh,Bình Định,
Gia Lai,Vân Canh,Xã Canh Hiệp,Xã Canh Hiệp,Vân Canh,Bình Định,
Gia Lai,Canh Vinh,Xã Canh Hiệp (phần còn lại sau khi sáp nhập vào xã Vân Canh),Xã Canh Hiệp,Vân Canh,Bình Định,
Gia Lai,Vân Canh,Xã Canh Hòa,Xã Canh Hòa,Vân Canh,Bình Định,
Gia Lai,Canh Vinh,Xã Canh Liên,Xã Canh Liên,Vân Canh,Bình Định,
Gia Lai,Canh Liên,Xã Canh Liên (phần còn lại sau khi sáp nhập vào xã Canh Vinh),Xã Canh Liên,Vân Canh,Bình Định,
Gia Lai,Vân Canh,Xã Canh Thuận,Xã Canh Thuận,Vân Canh,Bình Định,
Gia Lai,Canh Vinh,Xã Canh Vinh,Xã Canh Vinh,Vân Canh,Bình Định,
Gia Lai,Ngô Mây,Xã Cát Chánh,Xã Cát Chánh,Phù Cát,Bình Định,
Gia Lai,Cát Tiến,Xã Cát Hải,Xã Cát Hải,Phù Cát,Bình Định,
Gia Lai,Hòa Hội,Xã Cát Hanh,Xã Cát Hanh,Phù Cát,Bình Định,
Gia Lai,Hòa Hội,Xã Cát Hiệp,Xã Cát Hiệp,Phù Cát,Bình Định,
Gia Lai,Ngô Mây,Xã Cát Hưng,Xã Cát Hưng,Phù Cát,Bình Định,
Gia Lai,Hội Sơn,Xã Cát Lâm,Xã Cát Lâm,Phù Cát,Bình Định,
Gia Lai,Đề Gi,Xã Cát Minh,Xã Cát Minh,Phù Cát,Bình Định,
Gia Lai,Xuân An,Xã Cát Nhơn,Xã Cát Nhơn,Phù Cát,Bình Định,
Gia Lai,Hội Sơn,Xã Cát Sơn,Xã Cát Sơn,Phù Cát,Bình Định,
Gia Lai,Đề Gi,Xã Cát Tài,Xã Cát Tài,Phù Cát,Bình Định,
Gia Lai,Phù Cát,Xã Cát Tân,Xã Cát Tân,Phù Cát,Bình Định,
Gia Lai,Ngô Mây,Xã Cát Thắng,Xã Cát Thắng,Phù Cát,Bình Định,
Gia Lai,Cát Tiến,Xã Cát Thành,Xã Cát Thành,Phù Cát,Bình Định,
Gia Lai,Phù Cát,Xã Cát Trinh,Xã Cát Trinh,Phù Cát,Bình Định,
Gia Lai,Xuân An,Xã Cát Tường,Xã Cát Tường,Phù Cát,Bình Định,
Gia Lai,Chơ Long,Xã Chơ GLong,Xã Chơ GLong,Kông Chro,Gia Lai,
Gia Lai,Ia Hiao,Xã Chrôh Pơnan,Xã Chrôh Pơnan,Phú Thiện,Gia Lai,
Gia Lai,An Phú,Xã Chư Á,Xã Chư Á,Pleiku,Gia Lai,
Gia Lai,Chư A Thai,Xã Chư A Thai,Xã Chư A Thai,Phú Thiện,Gia Lai,
Gia Lai,Ia Rbol,Xã Chư Băh,Xã Chư Băh,Ayun Pa,Gia Lai,
Gia Lai,Biển Hồ,Xã Chư Đang Ya,Xã Chư Đang Ya,Chư Păh,Gia Lai,
Gia Lai,Chư Pưh,Xã Chư Don,Xã Chư Don,Chư Pưh,Gia Lai,
Gia Lai,Uar,Xã Chư Drăng,Xã Chư Drăng,Krông Pa,Gia Lai,
Gia Lai,Ia Rsai,Xã Chư Gu,Xã Chư Gu,Krông Pa,Gia Lai,
Gia Lai,Chư Krey,Xã Chư Krey,Xã Chư Krey,Kông Chro,Gia Lai,
Gia Lai,Ia Tul,Xã Chư Mố,Xã Chư Mố,Ia Pa,Gia Lai,
Gia Lai,Phú Túc,Xã Chư Ngọc,Xã Chư Ngọc,Krông Pa,Gia Lai,
Gia Lai,Bờ Ngoong,Xã Chư Pơng,Xã Chư Pơng,Chư Sê,Gia Lai,
Gia Lai,Pờ Tó,Xã Chư Răng,Xã Chư Răng,Ia Pa,Gia Lai,
Gia Lai,Ia Rsai,Xã Chư RCăm,Xã Chư RCăm,Krông Pa,Gia Lai,
Gia Lai,An Bình,Xã Cư An,Xã Cư An,Đăk Pơ,Gia Lai,
Gia Lai,Cửu An,Xã Cửu An,Xã Cửu An,An Khê,Gia Lai,
Gia Lai,Mang Yang,Xã Đak Djrăng,Xã Đak Djrăng,Mang Yang,Gia Lai,
Gia Lai,Ayun,Xã Đak Jơ Ta,Xã Đak Jơ Ta,Mang Yang,Gia Lai,
Gia Lai,SRó,Xã Đăk Kơ Ning,Xã Đăk Kơ Ning,Kông Chro,Gia Lai,
Gia Lai,Kon Gang,Xã Đak Krong,Xã Đak Krong,Kbang,Gia Lai,
Gia Lai,Ân Tường,Xã Đak Mang,Xã Đak Mang,Hoài Ân,Bình Định,
Gia Lai,Đăk Song,Xã Đăk Pling,Xã Đăk Pling,Kông Chro,Gia Lai,
Gia Lai,Chơ Long,Xã Đăk Pơ Pho,Xã Đăk Pơ Pho,Kông Chro,Gia Lai,
Gia Lai,Đak Rong,Xã Đak Rong,Xã Đak Rong,Kbang,Gia Lai,
Gia Lai,Kbang,Xã Đak Smar,Xã Đak Smar,KBang,Gia Lai,
Gia Lai,Đak Sơmei,Xã Đak Sơmei,Xã Đak Sơmei,Đak Đoa,Gia Lai,
Gia Lai,Đăk Song,Xã Đăk Song,Xã Đăk Song,Kông Chro,Gia Lai,
Gia Lai,Hra,Xã Đak Ta Ley,Xã Đak Ta Ley,Mang Yang,Gia Lai,
Gia Lai,Ya Ma,Xã Đăk Tơ Pang,Xã Đăk Tơ Pang,Kông Chro,Gia Lai,
Gia Lai,Ia Khươl,Xã Đăk Tơ Ver,Xã Đăk Tơ Ver,Chư Păh,Gia Lai,
Gia Lai,Kon Chiêng,Xã Đak Trôi,Xã Đak Trôi,Mang Yang,Gia Lai,
Gia Lai,Mang Yang,Xã Đăk Yă,Xã Đăk Yă,Mang Yang,Gia Lai,
Gia Lai,Phú Túc,Xã Đất Bằng,Xã Đất Bằng,Krông Pa,Gia Lai,
Gia Lai,Lơ Pang,Xã Đê Ar,Xã Đê Ar,Mang Yang,Gia Lai,
Gia Lai,Diên Hồng,Xã Diên Phú,Xã Diên Phú,Pleiku,Gia Lai,
Gia Lai,Kông Bơ La,Xã Đông,Xã Đông,KBang,Gia Lai,
Gia Lai,Chư Sê,Xã Dun,Xã Dun,Chư Sê,Gia Lai,
Gia Lai,Gào,Xã Gào,Xã Gào,Pleiku,Gia Lai,
Gia Lai,Đak Đoa,Xã Glar,Xã Glar,Đăk Đoa,Gia Lai,
Gia Lai,Biển Hồ,Xã Hà Bầu,Xã Hà Bầu,Đăk Đoa,Gia Lai,
Gia Lai,Đak Sơmei,Xã Hà Đông,Xã Hà Đông,Đăk Đoa,Gia Lai,
Gia Lai,Đak Pơ,Xã Hà Tam,Xã Hà Tam,Đăk Pơ,Gia Lai,
Gia Lai,Ia Khươl,Xã Hà Tây,Xã Hà Tây,Chư Păh,Gia Lai,
Gia Lai,Mang Yang,Xã Hải Yang,Xã Hải Yang,Đăk Đoa,Gia Lai,
Gia Lai,Ia Hrú,Xã HBông,Xã HBông,Chư Sê,Gia Lai,
Gia Lai,Kon Gang,Xã Hneng,Xã Hneng,Đak Đoa,Gia Lai,
Gia Lai,KDang,Xã Hnol,Xã Hnol,Đăk Đoa,Gia Lai,
Gia Lai,Chư Păh,Xã Hòa Phú,Xã Hòa Phú,Chư Păh,Gia Lai,
Gia Lai,Tam Quan,Xã Hoài Châu,Xã Hoài Châu,Hoài Nhơn,Bình Định,
Gia Lai,Hoài Nhơn Bắc,Xã Hoài Châu Bắc,Xã Hoài Châu Bắc,Hoài Nhơn,Bình Định,
Gia Lai,Hoài Nhơn Đông,Xã Hoài Hải,Xã Hoài Hải,Hoài Nhơn,Bình Định,
Gia Lai,Hoài Nhơn Đông,Xã Hoài Mỹ,Xã Hoài Mỹ,Hoài Nhơn,Bình Định,
Gia Lai,Hoài Nhơn Tây,Xã Hoài Phú,Xã Hoài Phú,Hoài Nhơn,Bình Định,
Gia Lai,Hoài Nhơn Bắc,Xã Hoài Sơn,Xã Hoài Sơn,Hoài Nhơn,Bình Định,
Gia Lai,Hra,Xã Hra,Xã Hra,Mang Yang,Gia Lai,
Gia Lai,Chư A Thai,Xã Ia Ake,Xã Ia Ake,Phú Thiện,Gia Lai,
Gia Lai,Ia Grai,Xã Ia Bă,Xã Ia Bă,Ia Grai,Gia Lai,
Gia Lai,Ia Tôr,Xã Ia Bang,Xã Ia Bang,Chư Prông,Gia Lai,
Gia Lai,Ia Tôr,Xã Ia Băng (huyện Chư Prông),Xã Ia Băng,Chư Prông,Gia Lai,
Gia Lai,Ia Băng,Xã Ia Băng (huyện Đak Đoa),Xã Ia Băng,Đak Đoa,Gia Lai,
Gia Lai,Chư Sê,Xã Ia Blang,Xã Ia Blang,Chư Sê,Gia Lai,
Gia Lai,Ia Le,Xã Ia Blứ,Xã Ia Blứ,Chư Pưh,Gia Lai,
Gia Lai,Ia Boòng,Xã Ia Boòng,Xã Ia Boòng,Chư Prông,Gia Lai,
Gia Lai,Ia Tul,Xã Ia Broăi,Xã Ia Broăi,Ia Pa,Gia Lai,
Gia Lai,Ia Hrung,Xã Ia Dêr,Xã Ia Dêr,Ia Grai,Gia Lai,
Gia Lai,Ia Krêl,Xã Ia Din,Xã Ia Din,Đức Cơ,Gia Lai,
Gia Lai,Ia Dơk,Xã Ia Dơk,Xã Ia Dơk,Đức Cơ,Gia Lai,
Gia Lai,Chư Prông,Xã Ia Drang,Xã Ia Drang,Chư Prông,Gia Lai,
Gia Lai,Ia Dreh,Xã Ia Dreh,Xã Ia Dreh,Krông Pa,Gia Lai,
Gia Lai,Ia Hrú,Xã Ia Dreng,Xã Ia Dreng,Chư Pưh,Gia Lai,
Gia Lai,Ia Pia,Xã Ia Ga,Xã Ia Ga,Chư Prông,Gia Lai,
Gia Lai,Chư Sê,Xã Ia Glai,Xã Ia Glai,Chư Sê,Gia Lai,
Gia Lai,Ia Grai,Xã Ia Grăng,Xã Ia Grăng,Ia Grai,Gia Lai,
Gia Lai,Ia Hiao,Xã Ia Hiao,Xã Ia Hiao,Phú Thiện,Gia Lai,
Gia Lai,Ia Ko,Xã Ia Hla,Xã Ia Hla,Chư Pưh,Gia Lai,
Gia Lai,Ia Ko,Xã Ia Hlốp,Xã Ia Hlốp,Chư Sê,Gia Lai,
Gia Lai,Ia Hrú,Xã Ia Hrú,Xã Ia Hrú,Chư Pưh,Gia Lai,
Gia Lai,Ia Hrung,Xã Ia Hrung,Xã Ia Hrung,Ia Grai,Gia Lai,
Gia Lai,Ia Phí,Xã Ia Ka,Xã Ia Ka,Chư Păh,Gia Lai,
Gia Lai,Ia Tul,Xã Ia Kdăm,Xã Ia Kdăm,Ia Pa,Gia Lai,
Gia Lai,Gào,Xã Ia Kênh,Xã Ia Kênh,Pleiku,Gia Lai,
Gia Lai,Ia Krái,Xã Ia Khai,Xã Ia Khai,Ia Grai,Gia Lai,
Gia Lai,Ia Khươl,Xã Ia Khươl,Xã Ia Khươl,Chư Păh,Gia Lai,
Gia Lai,Ia Dơk,Xã Ia Kla,Xã Ia Kla,Đức Cơ,Gia Lai,
Gia Lai,Chư Prông,Xã Ia Kly,Xã Ia Kly,Chư Prông,Gia Lai,
Gia Lai,Ia Ko,Xã Ia Ko,Xã Ia Ko,Chư Sê,Gia Lai,
Gia Lai,Ia Krái,Xã Ia Krái,Xã Ia Krái,Ia Grai,Gia Lai,
Gia Lai,Ia Krêl,Xã Ia Krêl,Xã Ia Krêl,Đức Cơ,Gia Lai,
Gia Lai,Ia Ly,Xã Ia Kreng,Xã Ia Kreng,Chư Păh,Gia Lai,
Gia Lai,Đức Cơ,Xã Ia Kriêng,Xã Ia Kriêng,Đức Cơ,Gia Lai,
Gia Lai,Ia Krêl,Xã Ia Lang,Xã Ia Lang,Đức Cơ,Gia Lai,
Gia Lai,Ia Lâu,Xã Ia Lâu,Xã Ia Lâu,Chư Prông,Gia Lai,
Gia Lai,Ia Le,Xã Ia Le,Xã Ia Le,Chư Pưh,Gia Lai,
Gia Lai,Ia Boòng,Xã Ia Me,Xã Ia Me,Chư Prông,Gia Lai,
Gia Lai,Phú Túc,Xã Ia Mlah,Xã Ia Mlah,Krông Pa,Gia Lai,
Gia Lai,Ia Ly,Xã Ia Mơ Nông,Xã Ia Mơ Nông,Chư Păh,Gia Lai,
Gia Lai,Ia Pa,Xã Ia Mrơn,Xã Ia Mrơn,Ia Pa,Gia Lai,
Gia Lai,Ia Phí,Xã Ia Nhin,Xã Ia Nhin,Chư Păh,Gia Lai,
Gia Lai,Ia Boòng,Xã Ia O (huyện Chư Prông),Xã Ia O,Chư Prông,Gia Lai,
Gia Lai,Chư Sê,Xã Ia Pal,Xã Ia Pal,Chư Sê,Gia Lai,
Gia Lai,Gào,Xã Ia Pếch,Xã Ia Pếch,Ia Grai,Gia Lai,
Gia Lai,Ia Hiao,Xã Ia Peng,Xã Ia Peng,Phú Thiện,Gia Lai,
Gia Lai,Ia Băng,Xã Ia Pết,Xã Ia Pết,Đăk Đoa,Gia Lai,
Gia Lai,Chư Pưh,Xã Ia Phang,Xã Ia Phang,Chư Pưh,Gia Lai,
Gia Lai,Ia Phí,Xã Ia Phí,Xã Ia Phí,Chư Păh,Gia Lai,
Gia Lai,Chư Prông,Xã Ia Phìn,Xã Ia Phìn,Chư Prông,Gia Lai,
Gia Lai,Ia Pia,Xã Ia Pia,Xã Ia Pia,Chư Prông,Gia Lai,
Gia Lai,Phú Thiện,Xã Ia Piar,Xã Ia Piar,Phú Thiện,Gia Lai,
Gia Lai,Ia Lâu,Xã Ia Piơr,Xã Ia Piơr,Chư Prông,Gia Lai,
Gia Lai,Ia Rbol,Xã Ia Rbol,Xã Ia Rbol,Ayun Pa,Gia Lai,
Gia Lai,Ia Dreh,Xã Ia Rmok,Xã Ia Rmok,Krông Pa,Gia Lai,
Gia Lai,Ia Hrú,Xã Ia Rong,Xã Ia Rong,Chư Pưh,Gia Lai,
Gia Lai,Ia Rsai,Xã Ia Rsai,Xã Ia Rsai,Krông Pa,Gia Lai,
Gia Lai,Uar,Xã Ia Rsươm,Xã Ia Rsươm,Krông Pa,Gia Lai,
Gia Lai,Ia Sao,Xã Ia Rtô,Xã Ia Rtô,Ayun Pa,Gia Lai,
Gia Lai,Ia Hrung,Xã Ia Sao (huyện Ia Grai),Xã Ia Sao,Ia Grai,Gia Lai,
Gia Lai,Ia Sao,Xã Ia Sao (thị xã Ayun Pa),Xã Ia Sao,Ayun Pa,Gia Lai,
Gia Lai,Phú Thiện,Xã Ia Sol,Xã Ia Sol,Phú Thiện,Gia Lai,
Gia Lai,Bờ Ngoong,Xã Ia Tiêm,Xã Ia Tiêm,Chư Sê,Gia Lai,
Gia Lai,Ia Krái,Xã Ia Tô,Xã Ia Tô,Ia Grai,Gia Lai,
Gia Lai,Ia Tôr,Xã Ia Tôr,Xã Ia Tôr,Chư Prông,Gia Lai,
Gia Lai,Ia Pa,Xã Ia Trôk,Xã Ia Trôk,Ia Pa,Gia Lai,
Gia Lai,Ia Tul,Xã Ia Tul,Xã Ia Tul,Ia Pa,Gia Lai,
Gia Lai,Ia Pia,Xã Ia Vê,Xã Ia Vê,Chư Prông,Gia Lai,
Gia Lai,Phú Thiện,Xã Ia Yeng,Xã Ia Yeng,Phú Thiện,Gia Lai,
Gia Lai,Ia Hrung,Xã Ia Yok,Xã Ia Yok,Ia Grai,Gia Lai,
Gia Lai,KDang,Xã KDang,Xã KDang,Đak Đoa,Gia Lai,
Gia Lai,Ia Pa,Xã Kim Tân,Xã Kim Tân,Ia Pa,Gia Lai,
Gia Lai,Kon Chiêng,Xã Kon Chiêng,Xã Kon Chiêng,Mang Yang,Gia Lai,
Gia Lai,Kon Gang,Xã Kon Gang,Xã Kon Gang,Đăk Đoa,Gia Lai,
Gia Lai,Đak Rong,Xã Kon Pne,Xã Kon Pne,KBang,Gia Lai,
Gia Lai,Lơ Pang,Xã Kon Thụp,Xã Kon Thụp,Mang Yang,Gia Lai,
Gia Lai,Kông Bơ La,Xã Kông Bơ La,Xã Kông Bơ La,KBang,Gia Lai,
Gia Lai,Al Bá,Xã Kông Htok,Xã Kông Htok,Chư Sê,Gia Lai,
Gia Lai,Tơ Tung,Xã Kông Lơng Khơng,Xã Kông Lơng Khơng,KBang,Gia Lai,
Gia Lai,Ya Ma,Xã Kông Yang,Xã Kông Yang,Kông Chro,Gia Lai,
Gia Lai,Ia Dreh,Xã Krông Năng,Xã Krông Năng,Krông Pa,Gia Lai,
Gia Lai,Kbang,Xã Lơ Ku,Xã Lơ Ku,KBang,Gia Lai,
Gia Lai,Lơ Pang,Xã Lơ Pang,Xã Lơ Pang,Mang Yang,Gia Lai,
Gia Lai,Phù Mỹ Đông,Xã Mỹ An,Xã Mỹ An,Phù Mỹ,Bình Định,
Gia Lai,An Lương,Xã Mỹ Cát,Xã Mỹ Cát,Phù Mỹ,Bình Định,
Gia Lai,An Lương,Xã Mỹ Chánh,Xã Mỹ Chánh,Phù Mỹ,Bình Định,
Gia Lai,Phù Mỹ,Xã Mỹ Chánh Tây,Xã Mỹ Chánh Tây,Phù Mỹ,Bình Định,
Gia Lai,Phù Mỹ Bắc,Xã Mỹ Châu,Xã Mỹ Châu,Phù Mỹ,Bình Định,
Gia Lai,Phù Mỹ Bắc,Xã Mỹ Đức,Xã Mỹ Đức,Phù Mỹ,Bình Định,
Gia Lai,Phù Mỹ Nam,Xã Mỹ Hiệp,Xã Mỹ Hiệp,Phù Mỹ,Bình Định,
Gia Lai,Phù Mỹ Tây,Xã Mỹ Hòa,Xã Mỹ Hòa,Phù Mỹ,Bình Định,
Gia Lai,Phù Mỹ Bắc,Xã Mỹ Lộc,Xã Mỹ Lộc,Phù Mỹ,Bình Định,
Gia Lai,Bình Dương,Xã Mỹ Lợi,Xã Mỹ Lợi,Phù Mỹ,Bình Định,
Gia Lai,Bình Dương,Xã Mỹ Phong,Xã Mỹ Phong,Phù Mỹ,Bình Định,
Gia Lai,Phù Mỹ,Xã Mỹ Quang,Xã Mỹ Quang,Phù Mỹ,Bình Định,
Gia Lai,Phù Mỹ Nam,Xã Mỹ Tài,Xã Mỹ Tài,Phù Mỹ,Bình Định,
Gia Lai,Phù Mỹ Đông,Xã Mỹ Thắng,Xã Mỹ Thắng,Phù Mỹ,Bình Định,
Gia Lai,An Lương,Xã Mỹ Thành,Xã Mỹ Thành,Phù Mỹ,Bình Định,
Gia Lai,Phù Mỹ Đông,Xã Mỹ Thọ,Xã Mỹ Thọ,Phù Mỹ,Bình Định,
Gia Lai,Phù Mỹ Tây,Xã Mỹ Trinh,Xã Mỹ Trinh,Phù Mỹ,Bình Định,
Gia Lai,Kon Gang,Xã Nam Yang,Xã Nam Yang,Đăk Đoa,Gia Lai,
Gia Lai,Kông Bơ La,Xã Nghĩa An,Xã Nghĩa An,KBang,Gia Lai,
Gia Lai,Chư Păh,Xã Nghĩa Hòa,Xã Nghĩa Hòa,Chư Păh,Gia Lai,
Gia Lai,Biển Hồ,Xã Nghĩa Hưng,Xã Nghĩa Hưng,Chư Păh,Gia Lai,
Gia Lai,An Nhơn Đông,Xã Nhơn An,Xã Nhơn An,An Nhơn,Bình Định,
Gia Lai,Quy Nhơn Đông,Xã Nhơn Hải,Xã Nhơn Hải,Quy Nhơn,Bình Định,
Gia Lai,An Nhơn Bắc,Xã Nhơn Hạnh,Xã Nhơn Hạnh,An Nhơn,Bình Định,
Gia Lai,An Nhơn,Xã Nhơn Hậu,Xã Nhơn Hậu,An Nhơn,Bình Định,
Gia Lai,Quy Nhơn Đông,Xã Nhơn Hội,Xã Nhơn Hội,Quy Nhơn,Bình Định,
Gia Lai,Bình Định,Xã Nhơn Khánh,Xã Nhơn Khánh,An Nhơn,Bình Định,
Gia Lai,An Nhơn Tây,Xã Nhơn Lộc,Xã Nhơn Lộc,An Nhơn,Bình Định,
Gia Lai,Quy Nhơn Đông,Xã Nhơn Lý,Xã Nhơn Lý,Quy Nhơn,Bình Định,
Gia Lai,An Nhơn,Xã Nhơn Mỹ,Xã Nhơn Mỹ,An Nhơn,Bình Định,
Gia Lai,An Nhơn Bắc,Xã Nhơn Phong,Xã Nhơn Phong,An Nhơn,Bình Định,
Gia Lai,Bình Định,Xã Nhơn Phúc,Xã Nhơn Phúc,An Nhơn,Bình Định,
Gia Lai,An Nhơn Tây,Xã Nhơn Tân,Xã Nhơn Tân,An Nhơn,Bình Định,
Gia Lai,An Nhơn Nam,Xã Nhơn Thọ,Xã Nhơn Thọ,An Nhơn,Bình Định,
Gia Lai,Ya Hội,Xã Phú An,Xã Phú An,Đăk Pơ,Gia Lai,
Gia Lai,Phú Túc,Xã Phú Cần,Xã Phú Cần,Krông Pa,Gia Lai,
Gia Lai,Tuy Phước Tây,Xã Phước An,Xã Phước An,Tuy Phước,Bình Định,
Gia Lai,Tuy Phước Bắc,Xã Phước Hiệp,Xã Phước Hiệp,Tuy Phước,Bình Định,
Gia Lai,Tuy Phước Đông,Xã Phước Hòa,Xã Phước Hòa,Tuy Phước,Bình Định,
Gia Lai,Tuy Phước Bắc,Xã Phước Hưng,Xã Phước Hưng,Tuy Phước,Bình Định,
Gia Lai,Tuy Phước,Xã Phước Lộc,Xã Phước Lộc,Tuy Phước,Bình Định,
Gia Lai,Quy Nhơn Tây,Xã Phước Mỹ,Xã Phước Mỹ,Quy Nhơn,Bình Định,
Gia Lai,Tuy Phước,Xã Phước Nghĩa,Xã Phước Nghĩa,Tuy Phước,Bình Định,
Gia Lai,Tuy Phước Bắc,Xã Phước Quang,Xã Phước Quang,Tuy Phước,Bình Định,
Gia Lai,Tuy Phước Đông,Xã Phước Sơn,Xã Phước Sơn,Tuy Phước,Bình Định,
Gia Lai,Tuy Phước Đông,Xã Phước Thắng,Xã Phước Thắng,Tuy Phước,Bình Định,
Gia Lai,Tuy Phước Tây,Xã Phước Thành,Xã Phước Thành,Tuy Phước,Bình Định,
Gia Lai,Tuy Phước,Xã Phước Thuận,Xã Phước Thuận,Tuy Phước,Bình Định,
Gia Lai,Pờ Tó,Xã Pờ Tó,Xã Pờ Tó,Ia Pa,Gia Lai,
Gia Lai,Sơn Lang,Xã Sơ Pai,Xã Sơ Pai,KBang,Gia Lai,
Gia Lai,Sơn Lang,Xã Sơn Lang,Xã Sơn Lang,KBang,Gia Lai,
Gia Lai,Cửu An,Xã Song An,Xã Song An,An Khê,Gia Lai,
Gia Lai,SRó,Xã SRó,Xã SRó,Kông Chro,Gia Lai,
Gia Lai,An Bình,Xã Tân An,Xã Tân An,Đăk Pơ,Gia Lai,
Gia Lai,Đak Đoa,Xã Tân Bình,Xã Tân Bình,Đăk Đoa,Gia Lai,
Gia Lai,Bình Hiệp,Xã Tây An,Xã Tây An,Tây Sơn,Bình Định,
Gia Lai,Bình An,Xã Tây Bình,Xã Tây Bình,Tây Sơn,Bình Định,
Gia Lai,Bình Khê,Xã Tây Giang,Xã Tây Giang,Tây Sơn,Bình Định,
Gia Lai,Bình Phú,Xã Tây Phú,Xã Tây Phú,Tây Sơn,Bình Định,
Gia Lai,Bình Khê,Xã Tây Thuận,Xã Tây Thuận,Tây Sơn,Bình Định,
Gia Lai,Bình An,Xã Tây Vinh,Xã Tây Vinh,Tây Sơn,Bình Định,
Gia Lai,Tây Sơn,Xã Tây Xuân,Xã Tây Xuân,Tây Sơn,Bình Định,
Gia Lai,Bàu Cạn,Xã Thăng Hưng,Xã Thăng Hưng,Chư Prông,Gia Lai,
Gia Lai,An Khê,Xã Thành An,Xã Thành An,An Khê,Gia Lai,
Gia Lai,Tơ Tung,Xã Tơ Tung,Xã Tơ Tung,KBang,Gia Lai,
Gia Lai,Pleiku,Xã Trà Đa,Xã Trà Đa,Pleiku,Gia Lai,
Gia Lai,KDang,Xã Trang,Xã Trang,Đăk Đoa,Gia Lai,
Gia Lai,Cửu An,Xã Tú An,Xã Tú An,An Khê,Gia Lai,
Gia Lai,Uar,Xã Uar,Xã Uar,Krông Pa,Gia Lai,
Gia Lai,Bình Phú,Xã Vĩnh An,Xã Vĩnh An,Tây Sơn,Bình Định,
Gia Lai,Vĩnh Thạnh,Xã Vĩnh Hảo,Xã Vĩnh Hảo,Vĩnh Thạnh,Bình Định,
Gia Lai,Vĩnh Thịnh,Xã Vĩnh Hiệp,Xã Vĩnh Hiệp,Vĩnh Thạnh,Bình Định,
Gia Lai,Vĩnh Quang,Xã Vĩnh Hòa,Xã Vĩnh Hòa,Vĩnh Thạnh,Bình Định,
Gia Lai,Vĩnh Sơn,Xã Vĩnh Kim,Xã Vĩnh Kim,Vĩnh Thạnh,Bình Định,
Gia Lai,Vĩnh Quang,Xã Vĩnh Quang,Xã Vĩnh Quang,Vĩnh Thạnh,Bình Định,
Gia Lai,Vĩnh Sơn,Xã Vĩnh Sơn,Xã Vĩnh Sơn,Vĩnh Thạnh,Bình Định,
Gia Lai,Vĩnh Thịnh,Xã Vĩnh Thịnh,Xã Vĩnh Thịnh,Vĩnh Thạnh,Bình Định,
Gia Lai,Vĩnh Quang,Xã Vĩnh Thuận,Xã Vĩnh Thuận,Vĩnh Thạnh,Bình Định,
Gia Lai,Cửu An,Xã Xuân An,Xã Xuân An,An Khê,Gia Lai,
Gia Lai,Ya Hội,Xã Ya Hội,Xã Ya Hội,Đăk Pơ,Gia Lai,
Gia Lai,Ya Ma,Xã Ya Ma,Xã Ya Ma,Kông Chro,Gia Lai,
Gia Lai,Đak Pơ,Xã Yang Bắc,Xã Yang Bắc,Đăk Pơ,Gia Lai,
Gia Lai,Kông Chro,Xã Yang Nam,Xã Yang Nam,Kông Chro,Gia Lai,
Gia Lai,Kông Chro,Xã Yang Trung,Xã Yang Trung,Kông Chro,Gia Lai,
Hà Nội,Hai Bà Trưng,Phường Bạch Đằng,Phường Bạch Đằng,Hai Bà Trưng,Hà Nội,
